email_text,category
Can I change my shift timing?,HR
I need a letter for address proof.,HR
Please share the payslip for last month.,HR
Kindly share the induction schedule.,HR
When will I receive my bonus?,HR
I need a letter for address proof.,HR
Is there a policy for remote working?,HR
My salary has not been credited.,HR
Please confirm my attendance for last week.,HR
Can you share the holiday calendar for this year?,HR
Please update my emergency contact number.,HR
Please confirm my attendance for last week.,HR
I want to know the procedure for resignation.,HR
Can you share the holiday calendar for this year?,HR
I want to know the procedure for resignation.,HR
Please configure my email on mobile.,IT
The system clock is showing the wrong time.,IT
Can't access the project management tool.,IT
How can I recover deleted files?,IT
How to run Jupyter Notebook?,IT
My laptop is not turning on.,IT
MS Teams is not launching.,IT
Need assistance installing Docker.,IT
Zoom is not working on my laptop.,IT
Can you install Python on my system?,IT
The system is overheating.,IT
How to run Jupyter Notebook?,IT
Need assistance installing Docker.,IT
Can you provide a new LAN cable?,IT
Can you install Python on my system?,IT
My account is locked after failed attempts.,IT
My laptop is not turning on.,IT
The printer is not working.,IT
I am getting a blue screen error.,IT
Please configure my email on mobile.,IT
The mouse and keyboard stopped working.,IT
How can I recover deleted files?,IT
My webcam is not working during calls.,IT
The speakers are not working.,IT
The WiFi is too slow in my area.,IT
I need help accessing the shared folder.,IT
Please help with setting up dual monitors.,IT
Need assistance installing Docker.,IT
My webcam is not working during calls.,IT
The printer is not working.,IT
The system is overheating.,IT
I am getting a blue screen error.,IT
How do I reset my Windows password?,IT
My webcam is not working during calls.,IT
There is a problem with screen resolution.,IT
The system is overheating.,IT
The system is overheating.,IT
How do I reset my Windows password?,IT
Please help with setting up dual monitors.,IT
My system fan is making noise.,IT
There is a problem with screen resolution.,IT
Can you provide a new LAN cable?,IT
I need help accessing the shared folder.,IT
My system fan is making noise.,IT
The WiFi is too slow in my area.,IT
The VPN is not connecting.,IT
MS Teams is not launching.,IT
My laptop is not turning on.,IT
Can't access the project management tool.,IT
MS Teams is not launching.,IT
My Outlook is crashing frequently.,IT
Can you unblock a website for me?,IT
I am getting a blue screen error.,IT
The WiFi is too slow in my area.,IT
Need help with antivirus update.,IT
I need help accessing the shared folder.,IT
My account is locked after failed attempts.,IT
I forgot my email password.,IT
My laptop is not turning on.,IT
Can you install Python on my system?,IT
Can't access the project management tool.,IT
I forgot my email password.,IT
Please help with setting up dual monitors.,IT
Please configure my email on mobile.,IT
Can you provide a new LAN cable?,IT
Need assistance installing Docker.,IT
My account is locked after failed attempts.,IT
The system clock is showing the wrong time.,IT
Zoom is not working on my laptop.,IT
Need help with antivirus update.,IT
My Outlook is crashing frequently.,IT
Zoom is not working on my laptop.,IT
Please configure my email on mobile.,IT
How can I recover deleted files?,IT
I need admin access for a project.,IT
Zoom is not working on my laptop.,IT
MS Teams is not launching.,IT
I need admin access for a project.,IT
I need admin access for a project.,IT
The VPN is not connecting.,IT
My account is locked after failed attempts.,IT
My Outlook is crashing frequently.,IT
Can you unblock a website for me?,IT
The system clock is showing the wrong time.,IT
The WiFi is too slow in my area.,IT
My webcam is not working during calls.,IT
There is a problem with screen resolution.,IT
The mouse and keyboard stopped working.,IT
Can you install Python on my system?,IT
The printer is not working.,IT
The VPN is not connecting.,IT
Please help with setting up dual monitors.,IT
The VPN is not connecting.,IT
Need help with antivirus update.,IT
How can I recover deleted files?,IT
I forgot my email password.,IT
Can't access the project management tool.,IT
The speakers are not working.,IT
My Outlook is crashing frequently.,IT
I need help accessing the shared folder.,IT
There is a broken chair in the pantry.,Other
Please arrange snacks for the Friday meeting.,Other
Please send someone to fix the projector.,Other
Can I reserve the recreation room?,Other
Is there parking space for visitors?,Other
There is water leakage near the pantry.,Other
Can I reserve the recreation room?,Other
Requesting help with printing posters.,Other
There is a broken chair in the pantry.,Other
Can I use the company vehicle for field work?,Other
I want to submit my courier bill.,Other
We need whiteboard markers in the meeting room.,Other
Is there parking space for visitors?,Other
Who should I contact for event planning?,Other
We need tissues in the washrooms.,Other
The washroom on the 2nd floor is not clean.,Other
I want to submit my courier bill.,Other
Can I reserve the recreation room?,Other
We need tissues in the washrooms.,Other
Please refill the water can.,Other
Requesting help with printing posters.,Other
The power sockets are not working.,Other
We need whiteboard markers in the meeting room.,Other
Can I use the company vehicle for field work?,Other
Can we get more dustbins near desks?,Other
The washroom on the 2nd floor is not clean.,Other
Who should I contact for event planning?,Other
Can we schedule a team lunch this week?,Other
There is noise from the construction next door.,Other
The air conditioning is not working.,Other
Can we get more dustbins near desks?,Other
Can I use the company vehicle for field work?,Other
Requesting weekend office access.,Other
Requesting weekend office access.,Other
Requesting help with printing posters.,Other
Please arrange snacks for the Friday meeting.,Other
I want to submit my courier bill.,Other
We need more chairs in the common area.,Other
There is water leakage near the pantry.,Other
Can I use the company vehicle for field work?,Other
The air conditioning is not working.,Other
Who is the admin for office supplies?,Other
Can I get extra stationery?,Other
Please send someone to fix the projector.,Other
I want to book the conference room.,Other
Please arrange snacks for the Friday meeting.,Other
I want to book the conference room.,Other
The air conditioning is not working.,Other
We need more chairs in the common area.,Other
Please share the contact of the admin head.,Other
Lights are flickering in the meeting room.,Other
Who should I contact for event planning?,Other
Who is the admin for office supplies?,Other
Can we schedule a team lunch this week?,Other
Requesting a fire drill schedule.,Other
There is a broken chair in the pantry.,Other
Can I get extra stationery?,Other
We need whiteboard markers in the meeting room.,Other
Requesting a fire drill schedule.,Other
Who is handling housekeeping complaints?,Other
Requesting a fire drill schedule.,Other
There is water leakage near the pantry.,Other
The power sockets are not working.,Other
Requesting a fire drill schedule.,Other
We need tissues in the washrooms.,Other
Lights are flickering in the meeting room.,Other
Is there parking space for visitors?,Other
The coffee machine is not dispensing.,Other
Who is handling housekeeping complaints?,Other
Can I get extra stationery?,Other
Can I get extra stationery?,Other
Please refill the water can.,Other
Can we get more dustbins near desks?,Other
Please refill the water can.,Other
The power sockets are not working.,Other
Please share the contact of the admin head.,Other
I want to book the conference room.,Other
Is there parking space for visitors?,Other
The washroom on the 2nd floor is not clean.,Other
Who is the admin for office supplies?,Other
Who is handling housekeeping complaints?,Other
Please share the contact of the admin head.,Other
Who should I contact for event planning?,Other
Who is handling housekeeping complaints?,Other
Requesting help with printing posters.,Other
Can we schedule a team lunch this week?,Other
The power sockets are not working.,Other
Who can help with travel bookings?,Other
There is noise from the construction next door.,Other
I want to submit my courier bill.,Other
There is water leakage near the pantry.,Other
Please send someone to fix the projector.,Other
There is noise from the construction next door.,Other
Who can help with travel bookings?,Other
The washroom on the 2nd floor is not clean.,Other
We need more chairs in the common area.,Other
There is a broken chair in the pantry.,Other
Requesting weekend office access.,Other
Please arrange snacks for the Friday meeting.,Other
Can I reserve the recreation room?,Other
